,text,date,favorite_count,retweets
0,"Other queries: ""none of the Tweeter Apis give the correct count of favorites tested for most of them, all give the wrong count. same is true for retweet. this mostly happens if the no. of likes, retweet is very large. So, what shld be done?""
Ans: Just use the count given by API.",Sun Apr 07 06:55:19 +0000 2019,1,1
1,"Other queries: ""do we have to make two different repositories on Github as ""Python Problem"" and ""CV Problem"". Or we have to make a single repository named ""root"" and upload our code in that?""
And: Have one repository of any name which has two folders. One python and other cv/nlp",Sun Apr 07 06:53:38 +0000 2019,1,0
2,"Other queries: ""If using Twitter api, it does not include any information about images in the response objects sent, so how do we retrieve the image info as requested?""
Ans: U have to use twitter api or wrappers based on it like tweepy.
Twitter API does provide image information.",Sun Apr 07 05:32:27 +0000 2019,3,1
3,"Response to some queries asked by students on @midasIIITD task.
What does the line ""dump the responses into JSONlines file"" mean?
It means you have to dump the response into a jsonlines file. jsonlines is a file extension more popularly know as .jsonl
#MIDAS #Research #Internship",Sun Apr 07 05:29:40 +0000 2019,6,1
4,RT @kdnuggets: Top 8 #Free Must-Read #Books on #DeepLearning #KDN https://t.co/1DtlN91Yjj,Sat Apr 06 17:11:29 +0000 2019,0,2
5,"@nupur_baghel @PennDATS Congratulation @nupur_baghel on getting admit from @PennDATS. 
She got 5/10 acceptance. She has worked at @midasIIITD on the #kikichallenge problem. We are glad to know that it inspired her to pursue further research. We wish her a great success ahead. 
#MSc #DataScience #UPenn https://t.co/2daLOHGPBU",Sat Apr 06 16:43:27 +0000 2019,14,3
6,We have emailed the task details to all candidates who have applied to @midasIIITD internship through IIITD portal. Kindly check your spam folder if you have not received the email. We will evaluate all solutions received until April 10 midnight and announce results by April 14.,Fri Apr 05 16:08:37 +0000 2019,10,1
7,"RT @rfpvjr: Our NAACL paper on polarization in language on Twitter surrounding mass shootings is up on arXiv! https://t.co/g7wiegXxDg
This…",Fri Apr 05 04:05:11 +0000 2019,0,16
8,RT @kdnuggets: Effective Transfer Learning For NLP https://t.co/Z1m0AzlfVv https://t.co/ccX4Uhxjn8,Fri Apr 05 04:04:43 +0000 2019,0,10
9,RT @stanfordnlp: What’s new in @Stanford CS224N Natural Language Processing with Deep Learning for 2019? Question answering—1D CNNs—subword…,Wed Apr 03 18:31:53 +0000 2019,0,58
